"Estilo","Clase","Size.L.","OG","FG","ABV","IBU","Color","BoilSize","BoilTime","BoilGravity","Efficiency","SugarScale","BrewMethod"
"SPECIALTY","IPA",21,1.056,1.016,5.26,54.21,6.79,97,90,25,70,"Specific Gravity","All Grain"
"DRY","STOUT",18.93,1.046,1.012,4.42,24.61,30.28,62,60,22,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20,1.047,1.008,5.14,34.73,9,87,60,19,75,"Specific Gravity","All Grain"
"AMERICAN","PORTER",32.18,1.063,1.017,6.09,46.41,30.82,139,75,30,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",71.92,1.059,1.019,5.16,45.48,14.37,191,60,37,85,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.048,1.012,4.68,42.26,5.59,95,60,19,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.061,1.012,6.46,52.5,11.65,7,60,82,35,"Specific Gravity","extract"
"AMERICAN","IPA",18.93,1.072,1.017,7.17,65.28,8.52,95,90,32,70,"Specific Gravity","All Grain"
"ENGLISH","IPA",23,1.065,1.016,6.46,41.81,7.61,192,60,114,35,"Specific Gravity","extract"
"AMERICAN","PORTER",18,1.061,1.015,6,0,25.91,78,90,26,68,"Specific Gravity","All Grain"
"BLONDE","ALE",41.64,1.047,1.009,4.99,19.94,5.14,146,60,24,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.067,1.017,6.61,55.57,11.41,95,60,29,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",23.66,1.075,1.018,7.53,72.37,14.26,90,60,49,75,"Specific Gravity","All Grain"
"BLONDE","ALE",18.93,1.054,1.01,5.86,16.4,3.71,71,60,26,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",18.93,1.063,1.016,6.17,75.32,8.41,7,60,85,35,"Specific Gravity","Partial Mash"
"CREAM","ALE",11.36,1.051,1.012,5.11,50.54,4.44,7,60,35,35,"Specific Gravity","extract"
"BLONDE","ALE",37.85,1.053,1.018,4.7,19.12,7.89,148,60,25,70,"Specific Gravity","Partial Mash"
"BLONDE","ALE",18.93,1.049,1.013,4.68,17.69,4.1,95,60,17,75,"Specific Gravity","All Grain"
"BROWN","PORTER",37.85,1.052,1.011,5.38,21.43,25.86,143,60,27,70,"Specific Gravity","All Grain"
"ROBUST","PORTER",23,1.058,1.014,5.81,40.48,37.65,97,60,31,73,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.073,1.013,7.77,97.82,9.24,83,60,46,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.053,1.013,5.29,43.72,6.21,80,60,26,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.058,1.011,6.19,64.15,6.22,95,60,27,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.059,1.012,6.18,58.47,11.72,68,90,30,72,"Specific Gravity","All Grain"
"AMERICAN","PALE",21,1.057,1.011,6.05,34.93,6.28,101,60,25,75,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.094,1.023,9.21,151.67,10.26,18,60,107,70,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",21,1.066,1.012,7.07,74.32,8.91,97,60,32,75,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.052,1.013,5.08,272.27,10.43,95,60,22,35,"Specific Gravity","All Grain"
"AMERICAN","PALE",21,1.053,1.008,5.89,32.03,9.12,184,45,108,35,"Specific Gravity","extract"
"AMERICAN","PALE",13.25,1.051,1.011,5.24,35.31,5.94,46,75,20,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",25,1.054,1.011,5.61,81.78,6.96,107,60,29,75,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",18,1.096,1.016,10.51,57.68,50,56,60,50,55,"Specific Gravity","All Grain"
"IMPERIAL","IPA",25,1.064,1.011,7.06,84.6,11.82,97,90,41,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.079,1.015,8.46,111.52,8.26,83,60,52,72,"Specific Gravity","All Grain"
"BELGIAN","PALE",3.79,1.065,1.018,6.16,23.47,5.03,133,60,31,70,"Specific Gravity","All Grain"
"AMERICAN","STOUT",41.64,1.067,1.026,5.45,81.23,40,148,60,38,78,"Specific Gravity","All Grain"
"AMERICAN","PALE",35,1.041,1.008,4.31,35.36,4.97,134,60,20,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",16,1.07,1.02,6.61,45.62,10.79,68,60,31,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.066,1.015,6.67,45.55,6.01,71,60,35,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.061,1.013,6.32,41.44,6.19,95,60,29,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",12,1.064,1.013,6.67,56.16,7.18,21,60,39,80,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.059,1.015,5.82,73.67,7.22,18,60,75,70,"Specific Gravity","Partial Mash"
"AMERICAN","PALE",37.85,1.06,1.022,5.06,20.97,9.3,155,60,27,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",10,1.069,1.013,7.39,77.18,7.07,19,60,35,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",938.78,1.065,1.012,7.06,60.08,34.03,5,60,40,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",34.07,1.063,1.016,6.24,96.59,37.8,145,60,30,75,"Specific Gravity","All Grain"
"AMERICAN","PORTER",20.82,1.056,1.016,5.21,31.48,33.93,84,60,28,70,"Specific Gravity","BIAB"
"SPECIALTY","IPA",20.82,1.087,1.021,8.73,239.69,50,113,90,42,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.054,1.009,5.87,65.02,9.23,95,60,23,72,"Specific Gravity","BIAB"
"SPECIALTY","IPA",20,1.066,1.016,6.48,23.55,5.15,97,60,30,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",21,1.078,1.022,7.38,73.91,37.7,97,60,42,85,"Specific Gravity","BIAB"
"AMERICAN","PALE",19,1.053,1.01,5.64,30.52,7.86,10,60,69,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",23,1.066,1.018,6.19,56.88,12.3,111,60,33,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.82,1.068,1.011,7.5,61.03,9.12,95,60,32,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",21,1.073,1.022,6.76,62.18,10.09,97,60,38,75,"Specific Gravity","BIAB"
"SPECIALTY","IPA",10.41,1.065,1.015,6.55,54.66,5.48,40,90,24,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",22,1.062,1.012,6.56,68.79,9.24,117,60,26,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.056,1.014,5.5,67.32,7.93,108,60,23,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",9.46,1.06,1.011,6.43,58.09,30.48,18,60,27,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",30.28,1.06,1.011,6.51,105.78,9.46,122,60,38,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.8,1.101,1.018,10.85,132.93,11.91,79,60,65,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.069,1.016,6.99,68.24,4.99,83,60,39,70,"Specific Gravity","All Grain"
"KELLERBIER:","PALE",16,1.049,1.007,5.51,26.67,7.31,52,60,23,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",3.79,1.051,1.009,5.51,53.93,4.72,172,90,12,65,"Specific Gravity","All Grain"
"BLONDE","ALE",20,1.044,1.009,4.59,24.54,3.97,48,60,28,68,"Specific Gravity","All Grain"
"AMERICAN","IPA",23,1.061,1.01,6.61,59.35,5.83,87,60,36,60,"Specific Gravity","All Grain"
"IMPERIAL","IPA",21,1.077,1.012,8.54,81.59,6.19,73,60,45,75,"Specific Gravity","BIAB"
"AMERICAN","STOUT",20.82,1.056,1.011,5.95,62.81,37.34,95,60,25,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.072,1.014,7.7,61.44,6.74,83,60,36,65,"Specific Gravity","All Grain"
"BLONDE","ALE",25,1.063,1.011,6.74,31.93,5.5,107,60,36,55,"Specific Gravity","BIAB"
"SWEET","STOUT",4.54,1.064,1.02,5.71,29.42,37.8,202,75,11,70,"Specific Gravity","All Grain"
"DRY","STOUT",20.82,1.098,1.021,10.13,76.24,50,7,60,113,35,"Specific Gravity","extract"
"AMERICAN","PALE",15.14,1.06,1.011,6.49,22.51,5.94,46,60,32,65,"Specific Gravity","BIAB"
"AMERICAN","IPA",21.77,1.053,1.01,5.7,43.05,7.54,95,60,24,69,"Specific Gravity","All Grain"
"AMERICAN","IPA",25,1.068,1.014,7.02,88.23,8.64,93,60,45,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.062,1.015,6.07,255.84,7.53,46,60,46,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",15.14,1.055,1.014,5.4,68.13,3.75,83,90,15,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",23,1.068,1.015,7.27,41.14,17.24,118,90,32,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",21,1.058,1.014,5.77,0,7.23,97,60,27,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.063,1.014,6.39,133.57,9.8,95,85,26,50,"Specific Gravity","All Grain"
"BALTIC","PORTER",19,1.073,1.018,7.25,24.83,26.09,73,60,39,65,"Specific Gravity","All Grain"
"IMPERIAL","IPA",11.36,1.102,1.024,10.22,156.54,4.75,15,60,76,25,"Specific Gravity","extract"
"AMERICAN","PALE",22.71,1.046,1.012,4.47,34.17,4.76,103,60,19,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",42.02,1.066,1.011,7.26,88.43,6.3,153,60,38,68,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.054,1.01,5.78,86.26,4.71,71,60,30,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",34.07,1.05,1.013,4.87,28.71,11.32,130,60,29,70,"Specific Gravity","All Grain"
"BLONDE","ALE",80,1.054,1.014,5.26,32.86,6.47,205,60,32,75,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.083,1.016,8.8,74.56,37.57,95,60,45,70,"Specific Gravity","All Grain"
"AMERICAN","STOUT",37.85,1.051,1.012,5.07,47.1,38.35,148,60,23,76,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.069,1.016,6.92,133,7.27,64,75,40,82,"Specific Gravity","BIAB"
"AMERICAN","PALE",21,1.044,1.012,4.29,31.7,7.6,97,70,17,70,"Specific Gravity","All Grain"
"ENGLISH","IPA",9.46,1.056,1.013,5.66,52.16,7.99,7,60,31,70,"Specific Gravity","Partial Mash"
"SPECIALTY","IPA",20.82,1.074,1.013,7.96,64.25,32.03,83,60,39,70,"Specific Gravity","BIAB"
"OATMEAL","STOUT",23.09,1.065,1.018,6.05,35.19,47,94,60,37,70,"Specific Gravity","All Grain"
"AMERICAN","STOUT",5,1.078,1.018,7.94,39.22,45.4,194,60,31,65,"Specific Gravity","BIAB"
"AMERICAN","IPA",23,1.057,1.01,6.24,92.97,8.12,87,60,33,72,"Specific Gravity","All Grain"
"AMERICAN","IPA",60,1.056,1.013,5.67,38.9,4.53,188,60,31,85,"Specific Gravity","All Grain"
"BLONDE","ALE",10,1.045,1.011,4.49,22.73,5.42,14,60,21,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",15,1.053,1.013,5.22,20.9,7.1,63,70,19,74,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.07,1.019,6.73,66.29,6.02,83,60,34,67,"Specific Gravity","All Grain"
"BLONDE","ALE",22.71,1.048,1.012,4.71,18.47,6.21,108,60,20,68,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.052,1.011,5.35,65.85,5.94,98,60,22,73,"Specific Gravity","BIAB"
"AMERICAN","PALE",25,1.059,1.01,6.4,31.52,10.73,107,60,33,85,"Specific Gravity","All Grain"
"DOUBLE","IPA",48,1.077,1.012,8.95,114,6.27,156,90,43,72,"Specific Gravity","All Grain"
"AMERICAN","IPA",492.1,1.059,1.011,6.28,39.59,4.03,140,60,51,80,"Specific Gravity","All Grain"
"IMPERIAL","IPA",24.61,1.079,1.012,8.83,253.72,6.04,95,90,52,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.057,1.012,5.91,58.56,8.06,7,45,77,35,"Specific Gravity","extract"
"SPECIALTY","IPA",20,1.066,1.016,6.49,77.51,13.02,101,60,29,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.82,1.076,1.026,6.67,88.25,25.32,83,60,44,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",21.5,1.05,1.009,5.26,38.22,5.17,44,30,43,86,"Specific Gravity","BIAB"
"IMPERIAL","IPA",18.93,1.079,1.016,8.31,107.48,15.51,202,60,105,25,"Specific Gravity","extract"
"AMERICAN","PORTER",20.82,1.064,1.012,6.8,28.76,37.04,71,60,38,72,"Specific Gravity","All Grain"
