"Estilo","Clase","Size.L.","OG","FG","ABV","IBU","Color","BoilSize","BoilTime","BoilGravity","Efficiency","SugarScale","BrewMethod"
"SPECIALTY","IPA",29.34,1.064,1.011,7,76.03,30.21,125,60,38,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.061,1.017,5.77,74.01,6.63,71,60,31,75,"Specific Gravity","All Grain"
"ENGLISH","IPA",21,1.058,1.012,6.01,45.57,11.59,97,60,27,72,"Specific Gravity","All Grain"
"AMERICAN","IPA",18,1.064,1.016,6.29,47.21,8.41,68,80,32,55,"Specific Gravity","All Grain"
"SPECIALTY","IPA",22.7,1.063,1.012,6.74,47.03,8.35,96,60,35,69,"Specific Gravity","All Grain"
"AMERICAN","PORTER",21,1.058,1.01,6.32,43.49,38.03,101,90,26,70,"Specific Gravity","All Grain"
"ENGLISH","IPA",21,1.06,1.014,6.1,25.25,7.4,167,60,117,70,"Specific Gravity","Partial Mash"
"BELGIAN","PALE",19.87,1.06,1.014,6.06,39.91,7.39,65,90,34,53,"Specific Gravity","Partial Mash"
"BELGIAN","PALE",29,1.053,1.01,5.6,27.55,7.26,128,60,27,70,"Specific Gravity","All Grain"
"ROBUST","PORTER",41.64,1.077,1.02,7.45,27.32,29.83,148,60,49,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",8.52,1.047,1.011,4.76,25.54,7.35,7,60,19,75,"Specific Gravity","BIAB"
"AMERICAN","STOUT",18.93,1.067,1.018,6.47,16.82,50,83,60,32,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",25,1.054,1.012,5.43,100.9,6.83,124,90,22,69,"Specific Gravity","BIAB"
"AMERICAN","IPA",18.93,1.058,1.016,5.5,82.01,10.37,202,60,95,35,"Specific Gravity","extract"
"SWEET","STOUT",21,1.069,1.021,6.35,30.42,48.36,97,60,35,75,"Specific Gravity","BIAB"
"AMERICAN","PALE",19.87,1.048,1.013,4.53,34.61,6.87,46,60,34,35,"Specific Gravity","extract"
"AMERICAN","IPA",21,1.065,1.014,6.65,65.32,6.56,56,60,49,60,"Specific Gravity","Partial Mash"
"AMERICAN","PALE",34.07,1.054,1.015,5.12,30.72,9.09,135,60,28,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.05,1.014,4.7,147.37,5.8,54,60,29,70,"Specific Gravity","All Grain"
"OLD","ALE",23,1.062,1.014,6.27,33.48,33.46,97,60,34,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",37.85,1.067,1.011,7.34,64,7.04,148,75,36,80,"Specific Gravity","All Grain"
"CREAM","ALE",10,1.05,1.011,5.08,32.15,2.59,9,60,27,80,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.078,1.019,7.77,73.98,5.08,95,60,41,70,"Specific Gravity","All Grain"
"CZECH","PALE",20.82,1.045,1.01,4.56,40.28,3.64,71,60,22,35,"Specific Gravity","Partial Mash"
"SPECIALTY","IPA",20.82,1.079,1.023,7.35,42.48,16.33,95,60,42,80,"Specific Gravity","All Grain"
"ROBUST","PORTER",19.87,1.052,1.01,5.54,31.79,23.79,71,60,26,35,"Specific Gravity","extract"
"CREAM","ALE",18.93,1.055,1.012,5.53,18.55,4.63,69,60,27,70,"Specific Gravity","All Grain"
"BELGIAN","PALE",35,1.05,1.009,5.38,22.81,11.05,134,60,28,70,"Specific Gravity","BIAB"
"BLONDE","ALE",45.42,1.061,1.014,6.2,15.4,4.6,148,90,41,83,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.056,1.011,5.94,61.87,9.66,7,60,83,35,"Specific Gravity","extract"
"AMERICAN","PALE",45.42,1.048,1.012,4.7,24.37,5.86,163,90,23,80,"Specific Gravity","All Grain"
"AMERICAN","PALE",60.57,1.049,1.009,5.24,27.15,12.27,180,60,28,70,"Specific Gravity","All Grain"
"ENGLISH","IPA",23,1.066,1.018,6.22,44.2,10.86,115,60,31,75,"Specific Gravity","All Grain"
"BROWN","PORTER",20,1.06,1.012,6.3,11.49,24.93,167,60,116,70,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",18.93,1.066,1.012,7.11,81.89,4.79,83,60,31,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20,1.065,1.018,6.19,93.76,6.03,93,90,30,80,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.82,1.081,1.019,8.19,99.93,50,95,75,44,69,"Specific Gravity","All Grain"
"ENGLISH","IPA",20,1.048,1.01,4.88,69.55,5.74,27,60,48,35,"Specific Gravity","extract"
"AMERICAN","PALE",20,1.051,1.009,5.58,43.8,5.26,93,60,21,75,"Specific Gravity","BIAB"
"BLONDE","ALE",15.14,1.051,1.013,5.03,19.64,6.29,28,60,35,35,"Specific Gravity","extract"
"AMERICAN","STOUT",21,1.058,1.016,5.56,43.78,43.17,87,60,29,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",25,1.052,1.013,5.14,39.93,9.56,101,60,29,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",15.14,1.048,1.011,4.83,51.56,9.01,185,60,78,35,"Specific Gravity","extract"
"SPECIALTY","IPA",20.82,1.08,1.02,8.42,81.83,11.94,7,60,106,35,"Specific Gravity","extract"
"AMERICAN","IPA",20.82,1.045,1.01,4.56,31.48,3.4,95,60,17,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",24.61,1.053,1.01,5.64,52.53,4.94,95,60,30,80,"Specific Gravity","BIAB"
"CREAM","ALE",4.16,1.049,1.008,5.39,16.9,2.92,195,90,9,75,"Specific Gravity","BIAB"
"AMERICAN","IPA",30,1.058,1.01,6.27,52.49,5.97,126,60,32,76,"Specific Gravity","All Grain"
"AMERICAN","PALE",20,1.049,1.011,4.98,39.7,3.82,83,60,21,75,"Specific Gravity","All Grain"
"DOUBLE","IPA",25,1.098,1.016,10.79,193.12,10.5,107,90,62,75,"Specific Gravity","All Grain"
"AMERICAN","PORTER",20.82,1.088,1.016,9.45,60.75,40.61,95,90,49,70,"Specific Gravity","All Grain"
"AMERICAN","STOUT",21,1.051,1.009,5.57,50.68,30.64,73,60,27,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",23.5,1.061,1.012,6.35,34.7,5.94,97,60,34,73,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.072,1.014,7.62,71.42,9.96,54,60,49,35,"Specific Gravity","extract"
"BELGIAN","PALE",18.93,1.062,1.019,5.71,36.77,3.66,54,60,40,70,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",20,1.044,1.01,4.45,25.44,7.13,73,60,19,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.061,1.012,6.51,54.14,7.04,7,60,83,35,"Specific Gravity","extract"
"IMPERIAL","IPA",12,1.085,1.014,9.27,103.48,10.85,41,60,42,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",8,1.026,1.005,2.73,48.04,7.55,201,90,8,35,"Specific Gravity","BIAB"
"AMERICAN","PALE",15,1.056,1.017,5.17,42.16,5.84,48,60,28,76,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",12,1.093,1.024,9.08,33.76,40.26,36,60,54,76,"Specific Gravity","All Grain"
"AMERICAN","PALE",18,1.05,1.01,5.27,54.13,8.97,192,60,92,35,"Specific Gravity","extract"
"AMERICAN","STOUT",13.25,1.079,1.017,8.08,47.74,37.95,62,60,30,65,"Specific Gravity","All Grain"
"CREAM","ALE",60.2,1.052,1.01,5.46,28.28,3.85,151,90,46,70,"Specific Gravity","All Grain"
"SWEET","STOUT",25,1.049,1.015,4.49,14.58,32.13,8,60,75,60,"Specific Gravity","extract"
"SWEET","STOUT",18.93,1.046,1.011,4.63,31.16,32.27,95,60,15,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",23.47,1.055,1.015,5.45,77.41,4.56,94,75,30,72,"Specific Gravity","All Grain"
"OLD","ALE",21,1.068,1.016,6.78,44.54,26.18,121,60,26,66,"Specific Gravity","BIAB"
"AMERICAN","IPA",9.46,1.074,1.018,7.46,175.71,10.33,28,60,31,70,"Specific Gravity","All Grain"
"AMERICAN","PORTER",20.82,1.104,1.026,10.27,75.97,41.73,95,60,60,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.064,1.012,6.8,77.83,8.08,83,60,34,60,"Specific Gravity","All Grain"
"SPECIALTY","IPA",18.93,1.071,1.018,6.97,60.03,31.46,95,60,31,70,"Specific Gravity","All Grain"
"AMERICAN","PORTER",20.82,1.062,1.017,5.95,46.06,50,95,60,30,60,"Specific Gravity","All Grain"
"AMERICAN","PALE",18,1.058,1.011,6.12,36.7,8.06,59,60,31,65,"Specific Gravity","All Grain"
"CZECH","PALE",25,11.1689,1.93664,4.9,31.99,7.13,97,60,135,68,"Plato","All Grain"
"AMERICAN","IPA",26.5,1.06,1.011,6.38,104.43,5.25,122,60,31,84,"Specific Gravity","All Grain"
"BROWN","PORTER",20.82,1.049,1.014,4.58,35.39,38.29,95,60,20,65,"Specific Gravity","BIAB"
"AMERICAN","IPA",22.71,1.067,1.014,6.91,79.45,9.29,108,60,34,70,"Specific Gravity","All Grain"
"BLONDE","ALE",21,1.05,1.009,5.33,18.27,5.25,97,60,21,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",25,1.057,1.01,6.19,68.11,13.18,93,90,35,75,"Specific Gravity","BIAB"
"AMERICAN","PALE",21.02,1.051,1.009,5.59,31.14,3.15,97,60,22,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.061,1.015,6.06,71.79,9.53,95,60,29,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",10,1.062,1.014,6.33,72.29,6.28,6,60,41,80,"Specific Gravity","All Grain"
"AMERICAN","PALE",27,1.048,1.009,5.14,31.56,3.4,14,60,89,35,"Specific Gravity","extract"
"AMERICAN","IPA",22,1.066,1.016,6.61,68.79,9.35,73,60,42,80,"Specific Gravity","BIAB"
"IMPERIAL","IPA",37.85,1.088,1.025,8.28,95.42,11.52,148,60,51,45,"Specific Gravity","extract"
"AMERICAN","IPA",170.34,1.059,1.013,5.96,61.37,6.06,43,60,41,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.065,1.018,6.18,68.01,15.25,95,60,32,80,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20,1.063,1.015,6.26,53.74,13.83,134,65,15,70,"Specific Gravity","All Grain"
"BLONDE","ALE",25,1.054,1.01,5.76,26.01,13.71,93,60,32,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.069,1.016,6.97,159.31,5.84,95,60,35,72,"Specific Gravity","All Grain"
"AMERICAN","IPA",23,1.09,1.021,9,163.66,17.16,97,90,57,55,"Specific Gravity","BIAB"
"AMERICAN","IPA",45.42,1.05,1.008,5.48,34.9,3.67,152,60,29,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.062,1.012,6.46,56.5,5.8,108,60,22,62,"Specific Gravity","All Grain"
"IMPERIAL","IPA",50,1.066,1.011,7.17,70.72,20.31,166,90,40,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.06,1.014,6.05,66.18,4.85,95,60,28,75,"Specific Gravity","All Grain"
"AMERICAN","STOUT",18.93,1.07,1.02,6.55,76.5,38.91,7,60,95,70,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",132.49,1.065,1.015,6.54,42.21,7.56,32,60,41,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.065,1.013,6.89,90.65,7.9,95,60,32,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.052,1.012,5.24,30.39,2.25,7,60,77,35,"Specific Gravity","extract"
"IMPERIAL","IPA",20,1.03,1.006,3.15,69.87,9.89,115,60,5,35,"Specific Gravity","All Grain"
"BLONDE","ALE",18.93,1.057,1.015,5.63,20.47,3.89,62,60,32,75,"Specific Gravity","All Grain"
"CREAM","ALE",20.82,1.052,1.012,5.26,18.47,3.1,103,90,21,75,"Specific Gravity","All Grain"
"SWEET","STOUT",20.82,1.054,1.012,5.4,31.48,31.69,95,60,23,75,"Specific Gravity","BIAB"
"INTERNATIONAL","PALE",19,1.067,1.02,6.18,41.47,3.96,63,90,40,75,"Specific Gravity","All Grain"
"OATMEAL","STOUT",20,1.052,1.012,5.2,26.5,33.14,73,70,26,70,"Specific Gravity","All Grain"
"OATMEAL","STOUT",18.93,1.093,1.014,10.37,87.71,42.98,7,60,109,35,"Specific Gravity","extract"
"SPECIALTY","IPA",20.82,1.056,1.013,5.71,87.56,32.68,95,60,25,68,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.067,1.017,6.62,66.34,6.02,71,60,36,75,"Specific Gravity","All Grain"
"DOUBLE","IPA",18.93,1.09,1.023,8.9,134.59,10.22,62,60,59,35,"Specific Gravity","extract"
"AMERICAN","IPA",22,1.063,1.015,6.33,131.09,7.2,96,60,33,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",60,1.065,1.02,5.99,38.24,8.75,190,60,34,75,"Specific Gravity","All Grain"
"ENGLISH","IPA",23,1.055,1.014,5.43,69.64,7.01,1,60,101,35,"Specific Gravity","extract"
"BELGIAN","PALE",11.36,1.06,1.01,6.57,40.32,10.09,40,80,24,78,"Specific Gravity","All Grain"
"DRY","STOUT",7.57,1.049,1.014,4.59,39.29,34.6,185,60,33,35,"Specific Gravity","extract"
"AMERICAN","IPA",18.93,1.067,1.02,6.15,37.94,7.26,95,60,28,70,"Specific Gravity","All Grain"
"DOUBLE","IPA",3.79,1.077,1.015,8.15,99.3,8.06,133,60,45,35,"Specific Gravity","Partial Mash"
"AMERICAN","PALE",10,1.051,1.01,5.36,33.74,5.93,14,90,26,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",21,1.064,1.016,6.28,69.17,9.4,97,60,31,70,"Specific Gravity","All Grain"
"OATMEAL","STOUT",19,1.087,1.022,8.56,39.11,50,59,60,59,35,"Specific Gravity","extract"
"AMERICAN","IPA",25,1.059,1.01,6.38,58.69,3.8,107,90,33,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",31.5,1.06,1.01,6.55,129.92,6.94,91,90,52,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.067,1.015,6.83,57.44,8.32,108,60,30,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.061,1.012,6.47,44.59,22.91,46,60,51,35,"Specific Gravity","extract"
"OATMEAL","STOUT",833,1.054,1.014,5.13,28.53,31.91,199,60,29,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",21,1.055,1.014,5.39,54.76,7.86,97,60,24,70,"Specific Gravity","All Grain"
"OLD","ALE",25,1.072,1.017,7.15,35.07,20.77,101,60,46,75,"Specific Gravity","BIAB"
"INTERNATIONAL","PALE",41.6,1.051,1.013,5.07,0,5.05,147,60,28,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",24.61,1.064,1.009,7.15,67.48,4.2,108,60,30,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",17.03,1.052,1.012,5.29,22.09,4.49,71,60,20,75,"Specific Gravity","BIAB"
"AMERICAN","PALE",20,1.058,1.013,5.98,46.46,6.62,63,60,35,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.065,1.015,6.53,233.82,11.7,95,60,31,75,"Specific Gravity","All Grain"
"ROBUST","PORTER",20.8,1.059,1.017,5.46,30.11,27.03,96,60,27,70,"Specific Gravity","All Grain"
"IMPERIAL","IPA",30.28,1.09,1.021,9.06,131.75,8.67,130,60,51,78,"Specific Gravity","All Grain"
"BROWN","PORTER",20.82,1.062,1.016,6.13,33.54,38.86,95,90,30,75,"Specific Gravity","All Grain"
"AMERICAN","PORTER",11,1.045,1.009,4.77,39.31,27.65,21,60,19,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",1400.6,12.4616,2.28713,5.43,70.53,3.62,34,60,123,95,"Plato","All Grain"
"AMERICAN","IPA",20.82,1.071,1.018,6.99,28.68,4.52,114,90,31,76,"Specific Gravity","BIAB"
"BLONDE","ALE",5,1.048,1.009,5.09,0,9.14,149,60,32,35,"Specific Gravity","All Grain"
"AMERICAN","IPA",18,1.072,1.019,6.99,36.06,6.68,68,60,38,70,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.093,1.023,9.13,101.89,10.99,95,90,52,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",19.87,1.048,1.009,5.1,59.41,4.59,90,60,19,35,"Specific Gravity","extract"
"AMERICAN","PALE",18.93,1.054,1.013,5.29,34.69,12.28,83,60,22,35,"Specific Gravity","extract"
"AMERICAN","IPA",20.82,1.059,1.011,6.23,72.4,4.95,95,60,27,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",21,1.063,1.011,6.77,54.17,8.46,78,60,35,65,"Specific Gravity","BIAB"
"IMPERIAL","STOUT",22.5,1.087,1.017,9.13,55.02,50,101,60,46,50,"Specific Gravity","BIAB"
"AMERICAN","PALE",9,1.057,1.016,5.39,43.59,6.47,183,60,8,60,"Specific Gravity","Partial Mash"
"BLONDE","ALE",18.93,1.053,1.012,5.33,36.87,4.51,18,60,59,70,"Specific Gravity","Partial Mash"
"AMERICAN","PALE",18.93,1.053,1.014,5.19,53.85,6.63,7,60,72,35,"Specific Gravity","extract"
"AMERICAN","PALE",22.71,1.052,1.011,5.34,28.24,4.57,83,60,29,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.055,1.013,5.45,71.88,4.3,57,60,32,50,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",20.82,1.06,1.012,6.33,38.05,7.51,71,60,35,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",22.71,1.058,1.014,5.81,38.87,6.26,108,90,28,75,"Specific Gravity","All Grain"
"BALTIC","PORTER",20.82,1.057,1.014,5.69,41.73,50,95,60,26,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",14.95,1.053,1.015,5.02,281.09,9.64,202,60,67,35,"Specific Gravity","extract"
"AMERICAN","PALE",20.82,1.063,1.017,6.08,26.43,4.03,95,60,30,72,"Specific Gravity","BIAB"
"DRY","STOUT",20,1.054,1.012,5.5,44.8,41.59,78,60,26,63,"Specific Gravity","All Grain"
"SPECIALTY","IPA",25,1.068,1.011,7.48,71.13,6.95,107,60,40,80,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.048,1.01,4.96,38.39,5.98,95,60,19,55,"Specific Gravity","All Grain"
"AMERICAN","IPA",37.85,1.09,1.023,8.87,86.13,11.65,143,60,59,65,"Specific Gravity","All Grain"
"OATMEAL","STOUT",20.82,1.053,1.013,5.26,31.48,26.81,95,60,23,65,"Specific Gravity","BIAB"
"OATMEAL","STOUT",20.82,1.059,1.02,5.09,41.56,39.16,62,60,38,72,"Specific Gravity","All Grain"
"CZECH","PALE",17.03,1.041,1.008,4.3,32.83,2.72,51,70,19,80,"Specific Gravity","BIAB"
"SPECIALTY","IPA",19.87,1.06,1.015,5.89,53.32,14.09,116,60,21,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",7.57,1.044,1.008,4.65,28.5,17.92,7,60,13,35,"Specific Gravity","extract"
"AMERICAN","IPA",38,1.055,1.014,5.34,62.08,4.72,142,60,30,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",20,1.056,1.014,5.53,0,3.91,68,60,31,70,"Specific Gravity","All Grain"
"BLONDE","ALE",20.82,1.026,1.005,2.74,93.27,4.78,108,60,4,35,"Specific Gravity","All Grain"
"AMERICAN","PALE",55,1.049,1.009,5.27,42.7,7.89,176,75,27,62,"Specific Gravity","All Grain"
"DOUBLE","IPA",21,1.09,1.019,9.28,126.52,10.87,96,60,51,54,"Specific Gravity","All Grain"
"OATMEAL","STOUT",20.82,1.065,1.014,6.71,25.61,30.79,95,60,26,65,"Specific Gravity","All Grain"
"DRY","STOUT",65,1.043,1.01,4.34,32.46,25.86,200,75,17,75,"Specific Gravity","All Grain"
"CREAM","ALE",39.75,1.049,1.009,5.26,16.99,5.43,145,60,26,35,"Specific Gravity","extract"
"SPECIALTY","IPA",23,1.058,1.013,6.02,48.78,6.98,87,90,34,75,"Specific Gravity","All Grain"
"BLONDE","ALE",9.46,1.04,1.012,3.66,16.66,4.17,18,60,13,53,"Specific Gravity","BIAB"
"ENGLISH","IPA",27,1.06,1.014,6.06,80.17,6.49,124,70,30,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",21,1.062,1.012,6.56,90.67,11.23,201,60,69,35,"Specific Gravity","extract"
"AMERICAN","PORTER",22.71,1.09,1.025,8.53,131.95,50,7,60,112,35,"Specific Gravity","extract"
"ENGLISH","IPA",7.5,1.061,1.017,5.73,40.79,8.21,19,60,18,70,"Specific Gravity","All Grain"
"DRY","STOUT",60,1.052,1.012,5.3,34.78,31.99,189,60,26,70,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",18.93,1.08,1.015,8.52,77.36,47.36,46,60,64,50,"Specific Gravity","extract"
"SPECIALTY","IPA",22.71,1.082,1.016,8.65,58.69,9.19,95,60,37,67,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.063,1.016,6.16,49.76,9.13,71,60,32,60,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.071,1.01,7.92,132.48,5.79,83,90,35,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.081,1.02,7.91,250.56,11.15,95,60,43,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",21.77,1.061,1.013,6.27,76.99,9.08,71,90,38,75,"Specific Gravity","All Grain"
"OATMEAL","STOUT",62,1.046,1.008,5.01,23.15,31.03,189,60,22,80,"Specific Gravity","All Grain"
"AMERICAN","PALE",21,1.048,1.014,4.56,84.67,5.27,97,60,20,75,"Specific Gravity","All Grain"
"IMPERIAL","IPA",5,1.085,1.021,8.42,71.34,10.9,192,60,37,75,"Specific Gravity","All Grain"
"SWEET","STOUT",22.71,1.059,1.022,4.81,24.32,30.8,103,90,26,78,"Specific Gravity","All Grain"
"ENGLISH","IPA",20.82,1.061,1.018,5.63,36.6,11.37,95,60,29,75,"Specific Gravity","BIAB"
"SPECIALTY","IPA",20.82,1.065,1.013,6.83,57.09,15.43,95,60,31,75,"Specific Gravity","BIAB"
"SPECIALTY","IPA",18.93,1.063,1.014,6.43,70.69,12.97,7,60,86,70,"Specific Gravity","Partial Mash"
"BALTIC","PORTER",20,1.074,1.013,8.1,48.34,35.72,93,90,37,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",16.5,1.055,1.01,5.95,85.13,10.05,60,60,25,73,"Specific Gravity","BIAB"
"AMERICAN","PALE",20.82,1.053,1.01,5.58,39.8,10.38,99,60,22,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",23,1.053,1.01,5.58,49.95,6.57,93,60,27,72,"Specific Gravity","All Grain"
"BELGIAN","PALE",15,1.056,1.016,5.33,32.96,13.76,14,60,41,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",50,1.064,1.012,6.83,34.77,9.17,158,60,44,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",19,1.073,1.013,7.97,72.28,7.31,97,65,33,84,"Specific Gravity","BIAB"
"DOUBLE","IPA",16,1.079,1.01,9.09,117.51,7.13,63,60,39,80,"Specific Gravity","BIAB"
"AMERICAN","IPA",23,1.038,1.007,3.97,45.62,4.64,93,70,15,70,"Specific Gravity","All Grain"
"ROBUST","PORTER",18.93,1.08,1.023,7.53,34.07,36.64,95,60,37,75,"Specific Gravity","BIAB"
"AMERICAN","IPA",45.42,1.082,1.023,7.84,77.97,7.26,178,75,42,75,"Specific Gravity","All Grain"
"ENGLISH","IPA",13,1.069,1.016,7.01,64.76,16.52,36,60,40,70,"Specific Gravity","All Grain"
"AMERICAN","PORTER",12.3,1.055,1.012,5.71,31.47,29.49,28,60,27,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20,1.075,1.014,7.96,59.45,39.79,87,60,39,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",25,1.064,1.012,6.84,49.4,4.73,93,60,41,70,"Specific Gravity","BIAB"
"IMPERIAL","STOUT",20,1.111,1.025,11.24,91.44,50,73,60,72,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.049,1.012,4.93,41.71,7.25,122,60,14,70,"Specific Gravity","All Grain"
"BLONDE","ALE",20.82,1.049,1.009,5.22,15.74,4.72,7,60,73,70,"Specific Gravity","Partial Mash"
"DRY","STOUT",41.64,1.063,1.023,5.23,24.78,31.25,148,60,37,65,"Specific Gravity","All Grain"
"AMERICAN","STOUT",20.82,1.082,1.026,7.31,63.49,38.81,83,60,48,75,"Specific Gravity","All Grain"
"AMERICAN","STOUT",18.93,1.061,1.016,5.82,31.21,40,71,60,1,70,"Specific Gravity","extract"
"SPECIALTY","IPA",529.96,1.066,1.011,7.21,56.12,4.65,162,60,47,80,"Specific Gravity","All Grain"
"AMERICAN","PALE",23,1.043,1.008,4.52,25.41,4.34,97,60,19,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",23,1.06,1.01,6.48,50.99,6.83,78,60,37,35,"Specific Gravity","extract"
"AMERICAN","PALE",20.82,1.056,1.015,5.32,40.69,9.52,71,60,31,70,"Specific Gravity","All Grain"
"ENGLISH","IPA",12,1.062,1.013,6.5,40.8,9.72,171,60,94,35,"Specific Gravity","extract"
"ROBUST","PORTER",24.61,1.066,1.016,6.5,37.54,40,108,60,38,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.038,1.011,3.52,39.41,5.89,62,60,16,35,"Specific Gravity","extract"
"AMERICAN","IPA",20.82,1.076,1.013,8.26,119.75,5.9,95,90,39,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.5,1.057,1.01,6.08,42.68,7.58,82,60,28,70,"Specific Gravity","All Grain"
"BELGIAN","PALE",52,1.059,1.013,6.01,28.59,13.17,142,60,52,73.5,"Specific Gravity","All Grain"
"DOUBLE","IPA",22.71,1.083,1.019,8.36,99.83,11.67,120,60,41,73,"Specific Gravity","All Grain"
"AMERICAN","PALE",25,1.047,1.009,5.03,30.26,4.71,107,90,23,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",22.71,1.071,1.02,6.71,147.07,6.3,116,60,34,60,"Specific Gravity","All Grain"
"ENGLISH","PORTER",21,1.05,1.012,5.01,20.24,25.33,201,60,96,35,"Specific Gravity","extract"
"AMERICAN","PALE",10,1.05,1.013,4.9,42.66,10.85,21,60,20,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",23.02,1.053,1.015,4.94,32.86,9.53,89,60,29,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",9,1.069,1.015,7.1,105.97,23.75,201,60,53,35,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",20.82,1.071,1.009,8.11,102.03,4.07,7,60,102,35,"Specific Gravity","extract"
"AMERICAN","PORTER",20,1.05,1.014,4.74,28.7,14.31,107,60,17,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",23,16.277,3.8473,6.76,85.98,4.83,93,80,130,70,"Plato","All Grain"
"AMERICAN","STOUT",25,1.049,1.01,5.11,71.32,28.44,134,120,14,78,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.06,1.011,6.34,82.64,7.66,95,60,28,70,"Specific Gravity","BIAB"
"AMERICAN","PALE",18.93,1.048,1.012,4.72,48.41,7.84,69,60,22,60,"Specific Gravity","All Grain"
"AMERICAN","IPA",24,1.045,1.011,4.47,66.22,9.97,97,60,22,70,"Specific Gravity","All Grain"
"SWEET","STOUT",20.82,1.082,1.027,7.13,38.34,30.11,95,60,44,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.049,1.01,5.04,43.62,4.49,71,60,21,65,"Specific Gravity","All Grain"
