NOMBRE,NACIMIENTO,LUGAR_NACIMIENTO,ALTURA,PESO,POSICION,EQUIPO,MIN_JUGADOS,PART_JUGADOS,%_PART_JUGADOS,PART_COMPLETOS,%_PART_COMPL,PART_TITULAR,%_PART_TITU,PART_SUSTITUIDO,%PART_SUSTI,AMARILLA,ROJA,SEGUNDAMARILLA,GOLES,PENALRECIBIDO,GOLPROPIAPUERTA,GOL_ENCONTRA,URL,BLOQUEOS,INTERVENCIONES,RECUPERACIONES,DESPEJES,ENTRADAS,ENTRADASFALLIDOS,TUATU,DUELOEXITO,DUELOFALLIDO,DUEROAEREOEXITO,DUELOAEREOFALLIDO,TIROS,TIROSAPUERTA,ASISTENCIA,REGATES,REGATESFALLIDOS,GOLESDENTROAREA,GOLESFUERAAREA,GOLESIZDA,GOLESDCHA,GOLESPENAL,GOLCABEZA,GOLBALONPARADO,FUERAJUEGO,FALTARECIBIDA,FALTACOMETIDA,PENALCONTRA,MANOS,FALTAXTARJETA,CORNETS_LANZADOS,DUELOS,DUELOS_CUERPO_CUERPO,DUELOSAEREOS,PASES,PASES_CORTOS,PASES_LARGOS,PASES_HUECO,GOLESXTIRO,GOLESXFUERAAREA,GOLESDONTROAREA,GOLPARADO
Martín Zubimendi,02-02-1999,San Sebastián,180 cm,74 kg,Centrocampista,Real Sociedad,572,9,23.68,5,55.56,6,15.79,1,2.63,2,0,0,0,0,0,8,https://www.laliga.com/jugador/zubimendi,0,9,51,2,12,4,0,42,25,18,3,3,0,0,3,3,0,0,0.0,0.0,0,0.0,0,0,6,9,0,1,4.5,0,67,46,21,417,341,20,0,0.0,0.0,0.0,0.0
Matheus Fernandes Siqueira,30-06-1998,Itaboraí,183 cm,71 kg,Centrocampista,Real Valladolid CF,166,3,7.89,1,33.33,2,5.26,1,2.63,0,0,0,0,0,0,3,https://www.laliga.com/jugador/matheus-fernandes,0,2,11,2,2,4,0,15,12,6,9,3,0,0,2,0,0,0,0.0,0.0,0,0.0,0,0,1,2,0,1,0.0,0,27,12,15,57,40,1,0,0.0,0.0,0.0,0.0
Mathías Olivera Miramontes,31-10-1997,Montevideo,184 cm,78 kg,Defensa,Getafe CF,1872,24,63.16,18,75.0,21,55.26,3,7.89,5,1,1,0,0,0,20,https://www.laliga.com/jugador/m-olivera,3,24,107,39,40,24,1,176,147,74,78,5,1,1,23,12,0,0,0.0,0.0,0,0.0,0,3,17,32,1,2,6.4,1,323,171,152,605,302,21,0,0.0,0.0,0.0,0.0
Matías Vargas,08-05-1997,Salta,168 cm,66 kg,Delantero,RCD Espanyol de Barcelona,1020,21,55.26,4,19.05,10,26.32,6,15.79,1,0,0,0,0,0,17,https://www.laliga.com/jugador/m-vargas,2,3,68,4,5,8,0,62,99,2,14,11,2,3,26,21,0,0,0.0,0.0,0,0.0,0,2,21,9,0,3,9.0,15,161,145,16,339,226,8,4,0.0,0.0,0.0,0.0
Mauro Wilney Arambarri Rosa,30-09-1995,Tropezón,175 cm,74 kg,Centrocampista,Getafe CF,3071,35,92.11,31,88.57,34,89.47,3,7.89,9,1,1,1,0,0,33,https://www.laliga.com/jugador/m-arambarri,5,43,201,33,33,39,0,236,225,73,73,33,7,1,30,13,1,0,0.0,0.0,0,0.03,0,0,63,79,0,7,8.78,13,461,315,146,896,522,86,0,0.03,0.0,0.03,0.0
Maxime Gonalons,10-03-1989,Vénissieux,187 cm,76 kg,Centrocampista,Granada CF,1509,19,50.0,12,63.16,17,44.74,5,13.16,7,0,0,0,0,0,21,https://www.laliga.com/jugador/gonalons,3,20,120,20,38,24,0,136,116,37,41,6,4,0,13,5,0,0,0.0,0.0,0,0.0,0,0,25,36,0,2,5.14,0,252,174,78,583,426,47,1,0.0,0.0,0.0,0.0
Maximiliano Gómez González,14-08-1996,Paysandú,186 cm,91 kg,Delantero,Valencia CF,2148,33,86.84,11,33.33,25,65.79,14,36.84,5,0,0,10,0,0,30,https://www.laliga.com/jugador/m-gomez,1,5,38,13,7,2,0,161,148,88,83,33,20,2,8,5,10,0,0.0,0.21,0,0.09,0,32,59,47,0,4,9.4,0,309,138,171,380,219,16,7,0.3,0.0,0.3,0.0
Miguel Alfonso Herrero Javaloyas,29-07-1988,Valencia,182 cm,68 kg,Centrocampista,Real Valladolid CF,2188,29,76.32,13,44.83,27,71.05,14,36.84,6,0,0,1,0,0,21,https://www.laliga.com/jugador/michel-1,4,33,181,36,28,22,0,100,148,15,31,9,3,2,19,8,1,0,0.0,0.11,1,0.0,0,2,16,35,0,1,5.83,79,248,202,46,1316,940,134,1,0.11,0.0,0.11,0.0
Miguel Ángel Atienza,27-05-1999,Madrid,186 cm,- kg,Centrocampista,SD Eibar,28,3,7.89,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/miguel-atienza,1,2,2,1,1,0,0,4,4,2,2,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,1,2,0,0,0.0,0,8,4,4,14,8,1,0,0.0,0.0,0.0,0.0
Miguel Ángel Moyà Rumbo,02-04-1984,Binisalem,188 cm,83 kg,Portero,Real Sociedad,1170,13,34.21,13,100.0,13,34.21,0,0.0,0,0,0,0,0,0,16,https://www.laliga.com/jugador/moya,0,1,116,10,0,0,0,4,1,2,0,0,0,0,2,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,5,3,2,404,203,110,0,0.0,0.0,0.0,0.0
Miguel De la Fuente,03-09-1999,Tudela de Duero,180 cm,77 kg,Delantero,Real Valladolid CF,231,7,18.42,0,0.0,2,5.26,2,5.26,1,0,0,0,0,0,2,https://www.laliga.com/jugador/miguel-2,1,0,3,1,1,1,0,20,35,11,27,2,1,0,3,1,0,0,0.0,0.0,0,0.0,0,1,8,5,0,0,5.0,0,55,17,38,32,17,0,0,0.0,0.0,0.0,0.0
Mikel Balenziaga Oruesagasti,29-02-1988,Zumárraga,177 cm,76 kg,Defensa,Athletic Club,562,9,23.68,5,55.56,6,15.79,1,2.63,1,0,0,0,0,0,9,https://www.laliga.com/jugador/balenziaga,1,2,31,15,10,5,0,31,13,10,3,2,0,0,3,0,0,0,0.0,0.0,0,0.0,0,0,3,6,0,0,6.0,0,44,31,13,191,128,10,0,0.0,0.0,0.0,0.0
Mikel Merino Zazón,22-06-1996,Pamplona,188 cm,83 kg,Centrocampista,Real Sociedad,3144,36,94.74,30,83.33,35,92.11,5,13.16,8,0,0,5,1,0,43,https://www.laliga.com/jugador/merino,8,50,289,51,52,27,0,378,312,183,110,34,14,1,37,23,5,0,0.03,0.03,0,0.09,0,2,91,76,0,2,9.5,0,690,397,293,1934,1387,79,5,0.15,0.0,0.15,0.0
Mikel Oyarzabal,21-04-1997,Eibar,181 cm,78 kg,Delantero,Real Sociedad,3063,37,97.37,22,59.46,36,94.74,14,36.84,4,0,0,10,0,0,45,https://www.laliga.com/jugador/oyarzabal,2,13,149,15,15,21,0,204,215,49,68,47,22,11,67,36,10,0,0.19,0.02,4,0.0,0,16,55,33,0,3,8.25,21,419,302,117,1036,759,43,10,0.21,0.0,0.21,0.0
Mikel Vesga Arruti,08-04-1993,Vitoria,191 cm,83 kg,Centrocampista,Athletic Club,1264,20,52.63,10,50.0,13,34.21,3,7.89,3,0,0,0,0,0,16,https://www.laliga.com/jugador/vesga,7,31,92,24,17,8,0,76,102,36,26,11,3,1,5,2,0,0,0.0,0.0,0,0.0,0,0,11,27,0,0,9.0,1,178,116,62,527,403,24,0,0.0,0.0,0.0,0.0
Miquel Parera Pizà,18-05-1996,Manacor,179 cm,73 kg,Portero,RCD Mallorca,90,1,2.63,1,100.0,1,2.63,0,0.0,0,0,0,0,0,0,2,https://www.laliga.com/jugador/m-parera,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,22,9,7,0,0.0,0.0,0.0,0.0
Moctar Sidi El Hacen,31-12-1997,Nouakchott,181 cm,79 kg,Centrocampista,Real Valladolid CF,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/el-hacen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Modibo Sagnan,14-04-1999,Saint-Denis,187 cm,77 kg,Defensa,Real Sociedad,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/sagnan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Moha Ezzarfani,15-11-1997,Nador,176 cm,75 kg,Delantero,RCD Espanyol de Barcelona,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/m-ezzarfani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Moisés Gómez Bordonado,23-06-1994,Valencia,176 cm,71 kg,Delantero,Villarreal CF,2328,37,97.37,8,21.62,26,68.42,18,47.37,1,0,0,5,3,0,32,https://www.laliga.com/jugador/moi-gomez,2,25,146,14,22,8,0,88,115,15,28,25,14,4,20,25,3,2,0.04,0.16,0,0.0,0,9,25,22,0,3,22.0,6,203,160,43,1049,826,58,2,0.2,0.08,0.12,0.0
Mouctar Diakhaby,19-12-1996,Vendôme,189 cm,78 kg,Defensa,Valencia CF,1441,21,55.26,14,66.67,15,39.47,1,2.63,5,0,0,0,0,0,23,https://www.laliga.com/jugador/diakhaby,15,11,71,73,8,3,1,68,46,38,26,1,1,0,6,0,0,0,0.0,0.0,0,0.0,0,2,14,17,1,1,3.4,0,114,50,64,805,683,32,0,0.0,0.0,0.0,0.0
Moussa Wagué,04-10-1998,Bignona,177 cm,70 kg,Defensa,FC Barcelona,90,1,2.63,1,100.0,1,2.63,0,0.0,0,0,0,0,0,0,1,https://www.laliga.com/jugador/moussa-wague,0,1,3,0,1,1,0,6,2,1,1,0,0,0,3,0,0,0,0.0,0.0,0,0.0,0,0,0,1,0,1,0.0,0,8,6,2,59,49,3,0,0.0,0.0,0.0,0.0
Munir El Haddadi Mohamed,01-09-1995,Madrid,175 cm,69 kg,Delantero,Sevilla FC,1254,21,55.26,5,23.81,14,36.84,9,23.68,1,0,0,5,0,0,10,https://www.laliga.com/jugador/munir,0,7,54,8,17,2,0,106,103,24,32,33,17,2,19,10,4,1,0.09,0.03,0,0.03,0,9,44,15,0,0,15.0,9,209,153,56,428,325,13,0,0.15,0.03,0.12,0.0
Nabil Fekir,18-07-1993,Lyon,173 cm,72 kg,Delantero,Real Betis,2648,32,84.21,21,65.63,31,81.58,10,26.32,7,2,2,7,5,0,49,https://www.laliga.com/jugador/fekir,3,10,121,2,26,15,0,281,244,31,42,76,41,4,98,53,5,2,0.09,0.0,1,0.0,0,14,113,69,0,4,9.86,12,525,452,73,952,761,38,1,0.09,0.03,0.07,0.0
Nacho Monreal,26-02-1986,Pamplona,179 cm,72 kg,Defensa,Real Sociedad,2392,29,76.32,23,79.31,27,71.05,4,10.53,3,0,0,2,0,0,32,https://www.laliga.com/jugador/monreal,4,43,87,53,16,22,0,118,112,53,53,13,7,0,10,5,2,0,0.08,0.0,0,0.08,0,2,17,35,0,3,11.67,0,230,124,106,1081,874,29,0,0.15,0.0,0.15,0.0
Näis Djouahra,23-11-1999,Bourgoin-Jallieu,171 cm,67 kg,Centrocampista,Real Sociedad,29,2,5.26,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1,https://www.laliga.com/jugador/djouahra,0,0,2,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0,1,0,1,0.0,0,2,1,1,18,14,0,0,0.0,0.0,0.0,0.0
Nelson Cabral Semedo,16-11-1993,Lisboa,177 cm,67 kg,Defensa,FC Barcelona,2094,32,84.21,18,56.25,24,63.16,6,15.79,2,0,0,1,2,0,25,https://www.laliga.com/jugador/n-semedo,3,22,128,22,30,21,0,141,93,13,12,7,2,2,48,20,1,0,0.0,0.14,0,0.0,0,3,30,21,1,2,10.5,0,234,209,25,1482,1274,52,1,0.14,0.0,0.14,0.0
Nemanja Gudelj,16-11-1991,Belgrade,187 cm,81 kg,Centrocampista,Sevilla FC,1202,24,63.16,9,37.5,9,23.68,0,0.0,6,0,0,0,0,0,12,https://www.laliga.com/jugador/gudelj,8,12,65,32,14,6,0,68,64,22,21,5,1,0,9,5,0,0,0.0,0.0,0,0.0,0,0,18,22,1,1,3.67,0,132,89,43,657,566,27,1,0.0,0.0,0.0,0.0
Nemanja Maksimovic,26-01-1995,Banja Koviljaca,189 cm,78 kg,Centrocampista,Getafe CF,2898,35,92.11,28,80.0,33,86.84,5,13.16,5,0,0,2,0,0,31,https://www.laliga.com/jugador/maksimovic,7,56,136,28,28,20,0,144,139,75,77,28,11,0,11,5,2,0,0.0,0.04,0,0.04,0,1,11,22,0,3,4.4,0,283,131,152,727,480,31,0,0.07,0.0,0.07,0.0
Nemanja Radoja,06-02-1993,Novi Sad,186 cm,77 kg,Centrocampista,Levante UD,1993,26,68.42,17,65.38,22,57.89,5,13.16,3,0,0,1,0,0,33,https://www.laliga.com/jugador/radoja,4,23,151,20,19,24,0,131,116,44,29,1,1,0,29,9,1,0,1.0,0.0,0,0.0,0,2,17,27,0,1,9.0,0,247,174,73,975,773,61,0,1.0,0.0,1.0,0.0
Néstor Alejandro Araujo Razo,29-08-1991,Guadalajara,188 cm,87 kg,Defensa,RC Celta,2890,34,89.47,27,79.41,32,84.21,5,13.16,10,0,0,1,0,0,42,https://www.laliga.com/jugador/araujo-1,18,52,151,141,27,17,0,137,89,84,50,8,3,2,1,1,1,0,0.0,0.0,0,0.13,0,0,9,27,0,0,2.7,0,226,92,134,1551,1236,81,0,0.13,0.0,0.13,0.0
Nicolás Melamed,11-04-2001,Castelldefels,173 cm,- kg,Delantero,RCD Espanyol de Barcelona,180,6,15.79,0,0.0,2,5.26,2,5.26,1,0,0,0,0,0,0,https://www.laliga.com/jugador/nico-m-r,0,1,9,0,1,2,0,17,24,1,7,3,3,0,7,3,0,0,0.0,0.0,0,0.0,0,0,7,5,0,0,5.0,1,41,33,8,67,51,2,0,0.0,0.0,0.0,0.0
Nikola Vukčević,13-12-1991,Podgorica,184 cm,76 kg,Centrocampista,Levante UD,1573,30,78.95,5,16.67,20,52.63,15,39.47,11,0,0,0,0,0,28,https://www.laliga.com/jugador/vukcevic,7,12,67,16,26,15,0,95,102,19,30,2,1,2,9,1,0,0,0.0,0.0,0,0.0,0,0,28,44,0,1,4.0,0,197,148,49,649,539,33,4,0.0,0.0,0.0,0.0
Norberto Murara Neto,19-07-1989,Araxá,190 cm,84 kg,Portero,FC Barcelona,180,2,5.26,2,100.0,2,5.26,0,0.0,0,0,0,0,0,0,2,https://www.laliga.com/jugador/neto,0,0,11,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,1,0,1,56,44,5,0,0.0,0.0,0.0,0.0
Oier Olazábal Paredes,14-09-1989,Irún,190 cm,86 kg,Portero,RCD Espanyol de Barcelona,180,2,5.26,2,100.0,2,5.26,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/oier,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,48,27,10,0,0.0,0.0,0.0,0.0
Oier Sanjurjo Maté,25-05-1986,Estella,178 cm,72 kg,Centrocampista,C.A. Osasuna,2328,29,76.32,19,65.52,27,71.05,8,21.05,12,1,1,2,0,0,31,https://www.laliga.com/jugador/oier-1,8,35,171,39,34,30,0,193,151,82,58,14,5,1,8,5,2,0,0.0,0.07,0,0.07,0,2,41,41,0,2,3.42,0,344,204,140,983,642,51,0,0.14,0.0,0.14,0.0
Oihan Sancet,25-04-2000,Pamplona,188 cm,73 kg,Centrocampista,Athletic Club,742,17,44.74,0,0.0,9,23.68,9,23.68,1,0,0,1,0,0,6,https://www.laliga.com/jugador/o-sancet-1,0,2,30,2,7,4,0,50,58,8,9,7,5,1,16,11,1,0,0.0,0.14,0,0.0,0,0,15,16,0,2,16.0,2,108,91,17,197,150,9,0,0.14,0.0,0.14,0.0
Okay Yokuşlu,09-03-1994,Izmir,190 cm,79 kg,Centrocampista,RC Celta,1976,26,68.42,17,65.38,24,63.16,7,18.42,6,0,0,0,0,0,28,https://www.laliga.com/jugador/okay,5,28,156,68,27,14,0,159,145,83,46,8,2,2,21,7,0,0,0.0,0.0,0,0.0,0,0,17,46,0,4,7.67,0,304,175,129,1058,831,29,2,0.0,0.0,0.0,0.0
Óliver Torres Muñoz,10-11-1994,Madrid,178 cm,70 kg,Centrocampista,Sevilla FC,1605,28,73.68,3,10.71,21,55.26,18,47.37,5,0,0,3,0,0,16,https://www.laliga.com/jugador/oliver-t,1,13,120,7,28,18,0,94,137,9,27,13,10,3,20,12,2,1,0.0,0.23,0,0.0,0,1,19,30,0,6,6.0,9,231,195,36,949,697,88,5,0.23,0.08,0.15,0.0
Oscar Clemente mues,26-03-1999,Adeje,175 cm,- kg,Centrocampista,Atlético de Madrid,3,1,2.63,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1,https://www.laliga.com/jugador/oscar-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0
Óscar de Marcos Arana,14-04-1989,Laguardia,182 cm,77 kg,Defensa,Athletic Club,540,13,34.21,2,15.38,6,15.79,4,10.53,1,0,0,0,0,0,6,https://www.laliga.com/jugador/de-marcos,0,8,28,5,3,2,0,17,26,8,9,1,0,1,2,3,0,0,0.0,0.0,0,0.0,0,2,3,9,0,1,9.0,2,43,26,17,177,127,6,0,0.0,0.0,0.0,0.0
Óscar Esau Duarte Gaitán,03-06-1989,Masaya,186 cm,81 kg,Defensa,Levante UD,484,8,21.05,3,37.5,5,13.16,2,5.26,0,0,0,0,0,0,13,https://www.laliga.com/jugador/o-duarte,6,6,25,28,3,9,1,26,24,10,15,2,1,0,1,0,0,0,0.0,0.0,0,0.0,0,0,3,10,0,1,0.0,0,50,25,25,237,170,26,0,0.0,0.0,0.0,0.0
Óscar Melendo Jiménez,23-08-1997,Barcelona,167 cm,63 kg,Centrocampista,RCD Espanyol de Barcelona,1112,24,63.16,2,8.33,12,31.58,10,26.32,0,0,0,0,0,0,18,https://www.laliga.com/jugador/melendo,2,2,44,3,4,6,0,65,53,6,16,2,0,0,9,6,0,0,0.0,0.0,0,0.0,0,0,40,7,0,1,0.0,3,118,96,22,343,278,9,0,0.0,0.0,0.0,0.0
Óscar Plano Pedreño,11-02-1991,Madrid,180 cm,72 kg,Delantero,Real Valladolid CF,2507,36,94.74,15,41.67,28,73.68,13,34.21,6,0,0,4,1,0,29,https://www.laliga.com/jugador/oscar-plano,3,35,147,23,30,18,0,164,188,38,67,29,13,2,17,9,4,0,0.14,0.0,0,0.0,0,5,62,47,0,2,7.83,8,352,247,105,700,477,32,5,0.14,0.0,0.14,0.0
Óscar Rodríguez Arnáiz,28-06-1998,Talavera de la Reina,174 cm,67 kg,Centrocampista,CD Leganés,1923,30,78.95,7,23.33,22,57.89,15,39.47,6,1,0,9,0,0,34,https://www.laliga.com/jugador/oscar-4,0,14,110,11,11,13,0,122,151,21,38,53,28,2,43,41,3,6,0.02,0.15,2,0.0,4,1,38,32,0,5,5.33,41,273,214,59,704,482,37,4,0.17,0.11,0.06,0.08
Ousmane Dembélé,15-05-1997,Vernon,178 cm,67 kg,Delantero,FC Barcelona,358,5,13.16,3,60.0,3,7.89,0,0.0,1,1,0,1,0,0,2,https://www.laliga.com/jugador/o-dembele,0,0,14,0,2,0,0,22,27,1,2,4,2,0,14,16,1,0,0.0,0.25,0,0.0,0,4,5,1,0,0,1.0,19,49,46,3,236,171,13,1,0.25,0.0,0.25,0.0
Pablo Chavarria,02-01-1988,Las Perdices,182 cm,74 kg,Delantero,RCD Mallorca,200,13,34.21,0,0.0,1,2.63,1,2.63,1,0,0,0,0,0,3,https://www.laliga.com/jugador/chavarria,1,1,6,2,1,0,0,25,31,19,10,5,1,0,1,1,0,0,0.0,0.0,0,0.0,0,7,4,14,0,0,14.0,0,56,27,29,56,33,1,0,0.0,0.0,0.0,0.0
Pablo Hervías Rubio,08-03-1993,Logroño,174 cm,67 kg,Delantero,Real Valladolid CF,1012,25,65.79,1,4.0,9,23.68,8,21.05,1,0,0,1,0,0,14,https://www.laliga.com/jugador/hervias,0,5,76,0,20,4,0,88,72,11,13,14,8,0,28,20,0,1,0.0,0.07,0,0.0,1,1,25,9,0,0,9.0,29,160,136,24,308,254,3,0,0.07,0.07,0.0,0.07
Pablo Martínez,22-02-1998,Madrid,182 cm,74 kg,Centrocampista,Levante UD,30,5,13.16,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,1,https://www.laliga.com/jugador/p-martinez,0,0,7,2,0,2,0,3,7,0,1,0,0,0,0,2,0,0,0.0,0.0,0,0.0,0,0,1,1,0,0,0.0,1,10,9,1,18,14,0,0,0.0,0.0,0.0,0.0
Papakouli Diop,19-03-1986,Kaolack,180 cm,77 kg,Centrocampista,SD Eibar,2257,30,78.95,17,56.67,25,65.79,8,21.05,7,0,0,1,0,0,42,https://www.laliga.com/jugador/p-diop,7,34,141,34,26,13,0,139,146,67,50,18,6,0,4,8,1,0,0.0,0.06,0,0.0,0,1,34,53,0,0,7.57,0,285,168,117,776,513,50,2,0.06,0.0,0.06,0.0
Pau Francisco Torres,16-01-1997,Villarreal,191 cm,80 kg,Defensa,Villarreal CF,2971,34,89.47,33,97.06,33,86.84,0,0.0,6,0,0,2,0,1,45,https://www.laliga.com/jugador/pau,23,27,203,148,21,13,0,98,105,47,60,10,2,1,10,3,2,0,0.1,0.0,0,0.1,0,0,9,29,2,2,4.83,0,203,96,107,2024,1514,215,1,0.2,0.0,0.2,0.0
Paulo André Rodrigues de,08-01-1992,Vila Nova de Famalicão,187 cm,81 kg,Defensa,SD Eibar,2089,26,68.42,22,84.62,23,60.53,1,2.63,5,1,1,1,0,1,31,https://www.laliga.com/jugador/p-oliveira,13,43,97,99,19,12,0,136,82,87,51,9,4,0,3,1,1,0,0.0,0.11,0,0.0,0,0,15,20,0,1,4.0,0,218,80,138,837,451,103,0,0.11,0.0,0.11,0.0
Pedro Bigas Rigo,15-05-1990,Palma de Mallorca,181 cm,83 kg,Defensa,SD Eibar,1778,23,60.53,16,69.57,21,55.26,5,13.16,2,0,0,3,0,0,21,https://www.laliga.com/jugador/r-bigas,10,36,87,76,9,9,0,102,59,67,42,7,5,0,0,1,3,0,0.0,0.0,0,0.29,0,2,19,9,1,1,4.5,0,161,52,109,685,386,78,0,0.43,0.0,0.43,0.0
Pedro León Sánchez Gil,24-11-1986,Murcia,183 cm,70 kg,Delantero,SD Eibar,1903,31,81.58,5,16.13,23,60.53,18,47.37,4,0,0,1,0,0,28,https://www.laliga.com/jugador/p-leon,1,19,73,5,20,8,0,98,123,34,47,29,14,2,19,12,1,0,0.0,0.03,0,0.0,0,10,18,21,0,1,5.25,82,221,140,81,503,319,18,0,0.03,0.0,0.03,0.0
Pere Pons Riera,20-02-1993,Sant Martí Vell,177 cm,70 kg,Centrocampista,Deportivo Alavés,1070,30,78.95,5,16.67,7,18.42,2,5.26,3,0,0,1,1,0,31,https://www.laliga.com/jugador/pere-pons,3,12,71,8,16,12,0,61,77,17,17,1,1,1,3,13,1,0,0.0,0.0,0,1.0,0,0,14,23,0,0,7.67,0,138,104,34,377,264,15,1,1.0,0.0,1.0,0.0
Pione Sisto Ifolo Emirmija,04-02-1995,Kampala,171 cm,64 kg,Delantero,RC Celta,886,21,55.26,2,9.52,8,21.05,6,15.79,2,0,0,2,0,0,14,https://www.laliga.com/jugador/sisto,0,6,50,2,8,9,0,70,62,4,5,24,16,0,24,8,2,0,0.04,0.04,0,0.0,0,5,26,9,0,0,4.5,13,132,123,9,398,310,19,2,0.08,0.0,0.08,0.0
Pol Lozano,06-10-1999,Sant Quirze del Vallès,177 cm,62 kg,Centrocampista,RCD Espanyol de Barcelona,171,5,13.16,2,40.0,2,5.26,0,0.0,0,1,0,0,0,0,1,https://www.laliga.com/jugador/pol-lozano,0,1,21,1,3,2,0,6,11,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,7,0,0,0.0,1,17,16,1,84,69,6,0,0.0,0.0,0.0,0.0
Rafael Alcántara Do Nascimento,12-02-1993,São Paulo,174 cm,71 kg,Centrocampista,FC Barcelona,2305,32,84.21,13,40.63,27,71.05,14,36.84,5,0,0,4,0,0,32,https://www.laliga.com/jugador/rafinha,4,34,204,19,39,35,0,275,192,27,29,22,11,1,64,32,2,2,0.14,0.0,0,0.05,0,2,110,38,0,3,7.6,11,467,411,56,1430,1192,58,5,0.18,0.09,0.09,0.0
Rafael Navarro Mazuecos,24-02-1994,Valenciana de la Concepción,173 cm,61 kg,Defensa,Deportivo Alavés,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/rafa-n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ramiro José Funes Mori,05-03-1991,Mendoza,186 cm,79 kg,Defensa,Villarreal CF,452,7,18.42,5,71.43,5,13.16,0,0.0,1,0,0,0,0,0,7,https://www.laliga.com/jugador/funes-mori,2,3,35,9,2,3,0,19,17,10,8,2,0,0,1,0,0,0,0.0,0.0,0,0.0,0,0,4,7,0,1,7.0,0,36,18,18,269,197,25,0,0.0,0.0,0.0,0.0
Ramon Azeez,12-12-1992,Abuja,169 cm,67 kg,Centrocampista,Granada CF,1354,25,65.79,7,28.0,14,36.84,7,18.42,3,0,0,2,0,0,14,https://www.laliga.com/jugador/azeez,2,19,72,11,8,3,0,52,86,19,32,14,4,0,4,7,2,0,0.0,0.07,0,0.07,0,1,19,29,0,3,9.67,0,138,87,51,366,274,17,0,0.14,0.0,0.14,0.0
Raphaël Varane,25-04-1993,Lille,191 cm,81 kg,Defensa,Real Madrid,2823,32,84.21,31,96.88,32,84.21,1,2.63,2,0,0,2,0,0,21,https://www.laliga.com/jugador/r-varane,16,31,159,117,17,13,0,130,71,81,36,8,2,1,8,4,2,0,0.13,0.0,0,0.13,0,1,12,22,0,2,11.0,0,201,84,117,1670,1299,159,1,0.25,0.0,0.25,0.0
Raúl Albiol,04-09-1985,Valencia,187 cm,74 kg,Defensa,Villarreal CF,3238,36,94.74,35,97.22,36,94.74,1,2.63,9,0,0,1,0,0,44,https://www.laliga.com/jugador/r-albiol,21,42,152,173,23,20,0,145,92,81,59,9,5,0,3,0,1,0,0.0,0.0,0,0.11,0,2,25,30,2,3,3.33,0,237,97,140,1944,1437,195,1,0.11,0.0,0.11,0.0
Raúl de Tomás Gómez,17-10-1994,Madrid,180 cm,72 kg,Delantero,RCD Espanyol de Barcelona,1073,14,36.84,9,64.29,11,28.95,2,5.26,5,0,0,4,1,0,12,https://www.laliga.com/jugador/r-d-t,1,10,34,4,7,2,0,89,113,27,47,28,14,0,30,15,4,0,0.0,0.07,1,0.07,0,7,24,22,0,2,4.4,0,202,128,74,264,189,17,2,0.14,0.0,0.14,0.0
