NOMBRE,NACIMIENTO,LUGAR_NACIMIENTO,ALTURA,PESO,POSICION,EQUIPO,MIN_JUGADOS,PART_JUGADOS,%_PART_JUGADOS,PART_COMPLETOS,%_PART_COMPL,PART_TITULAR,%_PART_TITU,PART_SUSTITUIDO,%PART_SUSTI,AMARILLA,ROJA,SEGUNDAMARILLA,GOLES,PENALRECIBIDO,GOLPROPIAPUERTA,GOL_ENCONTRA,URL,BLOQUEOS,INTERVENCIONES,RECUPERACIONES,DESPEJES,ENTRADAS,ENTRADASFALLIDOS,TUATU,DUELOEXITO,DUELOFALLIDO,DUEROAEREOEXITO,DUELOAEREOFALLIDO,TIROS,TIROSAPUERTA,ASISTENCIA,REGATES,REGATESFALLIDOS,GOLESDENTROAREA,GOLESFUERAAREA,GOLESIZDA,GOLESDCHA,GOLESPENAL,GOLCABEZA,GOLBALONPARADO,FUERAJUEGO,FALTARECIBIDA,FALTACOMETIDA,PENALCONTRA,MANOS,FALTAXTARJETA,CORNETS_LANZADOS,DUELOS,DUELOS_CUERPO_CUERPO,DUELOSAEREOS,PASES,PASES_CORTOS,PASES_LARGOS,PASES_HUECO,GOLESXTIRO,GOLESXFUERAAREA,GOLESDONTROAREA,GOLPARADO
Kévin Rodrigues,05-03-1994,Bayonne,170 cm,70 kg,Defensa,Real Sociedad,1938,27,71.05,16,59.26,22,57.89,6,15.79,4,1,1,1,0,0,25,https://www.laliga.com/jugador/rodrigues-1,3,31,102,23,31,26,0,144,155,23,50,18,8,2,36,15,0,1,0.06,0.0,0,0.0,0,2,29,42,0,1,10.5,41,299,226,73,565,391,22,1,0.06,0.06,0.0,0.0
Kevin Soni,17-04-1998,Douala,183 cm,76 kg,Delantero,RCD Espanyol de Barcelona,3,1,2.63,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/soni-1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,2,0,0,0.0,0,2,2,0,2,1,0,0,0.0,0.0,0.0,0.0
Kevin Vázquez Comesaña,23-03-1993,Nigrán,173 cm,72 kg,Defensa,RC Celta,1330,17,44.74,8,47.06,16,42.11,8,21.05,6,0,0,0,1,0,20,https://www.laliga.com/jugador/vazquez,1,26,80,20,15,11,0,93,71,24,24,1,0,0,15,7,0,0,0.0,0.0,0,0.0,0,1,29,22,0,2,3.67,0,164,116,48,618,462,21,1,0.0,0.0,0.0,0.0
Kieran Trippier,19-09-1990,Bury,178 cm,71 kg,Defensa,Atlético de Madrid,1980,25,65.79,19,76.0,23,60.53,4,10.53,2,0,0,0,0,0,15,https://www.laliga.com/jugador/trippier,7,24,132,37,34,18,0,104,75,27,26,0,0,4,13,5,0,0,0.0,0.0,0,0.0,0,2,13,20,1,4,10.0,45,179,126,53,941,676,46,5,0.0,0.0,0.0,0.0
Laureano Antonio Villa Suárez,07-01-1995,Lorquí,172 cm,63 kg,Centrocampista,Real Valladolid CF,1363,23,60.53,2,8.7,18,47.37,16,42.11,4,0,0,0,0,0,15,https://www.laliga.com/jugador/toni-villa,1,8,96,3,16,15,0,113,152,5,13,13,5,1,41,56,0,0,0.0,0.0,0,0.0,0,3,37,14,0,1,3.5,0,265,247,18,419,291,22,1,0.0,0.0,0.0,0.0
Leandro Cabrera Sasía,17-06-1991,Montevideo,190 cm,80 kg,Defensa,RCD Espanyol de Barcelona,3060,35,92.11,33,94.29,35,92.11,2,5.26,5,0,0,2,0,0,37,https://www.laliga.com/jugador/cabrera,16,41,153,142,17,21,1,163,117,103,72,9,3,1,8,0,2,0,0.0,0.0,0,0.22,0,2,16,26,0,0,5.2,0,280,105,175,1328,640,187,2,0.22,0.0,0.22,0.0
Leandro Chichizola,27-03-1990,San Justo,185 cm,80 kg,Portero,Getafe CF,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,https://www.laliga.com/jugador/chichizola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Lionel Andrés Messi,24-06-1987,Rosario,170 cm,72 kg,Delantero,FC Barcelona,2880,33,86.84,31,93.94,32,84.21,1,2.63,4,0,0,25,1,0,30,https://www.laliga.com/jugador/messi,0,7,56,1,10,11,0,283,199,10,3,115,71,21,182,81,16,9,0.2,0.02,5,0.0,5,13,70,20,0,1,5.0,77,482,469,13,1975,1560,71,36,0.22,0.08,0.14,0.04
Lluís López Mármol,05-03-1997,Manresa,182 cm,79 kg,Defensa,RCD Espanyol de Barcelona,299,4,10.53,3,75.0,3,7.89,0,0.0,1,0,0,0,0,0,7,https://www.laliga.com/jugador/lluis-lopez,0,1,8,6,2,2,0,12,6,6,3,1,0,0,1,0,0,0,0.0,0.0,0,0.0,0,0,1,2,0,0,2.0,0,18,9,9,239,202,10,0,0.0,0.0,0.0,0.0
Lorenzo Morón García,30-12-1993,Marbella,188 cm,66 kg,Delantero,Real Betis,2030,36,94.74,9,25.0,21,55.26,12,31.58,2,1,0,10,0,0,40,https://www.laliga.com/jugador/loren,6,9,43,12,12,6,0,118,144,42,61,41,18,3,14,21,9,1,0.02,0.22,0,0.0,0,25,47,24,0,1,12.0,0,262,159,103,275,171,11,2,0.24,0.02,0.22,0.0
